Cluster,Silhouette Scores
2,0.18774844613258937
3,0.22881357659912696
4,0.15414346008213173
5,0.10307730812780197
6,0.10786100579011441
7,0.10834264396725798
8,0.12447803674591243
9,0.13578588880171105
10,0.13614075434812556
11,0.11470598796267234
12,0.14529482265587784
13,0.1459176525077756
14,0.13043697145551963
